query_5423.rq;3;3118;148285;1713;264
query_5343.rq;17;11992;280897;5900;40
query_8968.rq;1;635;36257;635;1
query_5398.rq;1;2823;5666500;947;28378
query_5269.rq;56;2217;854701;1907;51
query_5396.rq;1;1232;48527;1212;658
query_536.rq;13;883;170543;881;18
query_5270.rq;5;592;124631;588;69
query_5342.rq;2;797;2568858;0;0
query_5337.rq;1;1092;874837;1092;1
query_5389.rq;1;780;48527;771;223
query_5373.rq;6;801;62998;0;0
query_5355.rq;2;1084;2569226;1020;2038
query_5409.rq;5;896;120539;892;1
query_529.rq;8;834;157981;829;5
query_5320.rq;3;1184;278412;0;0
query_5438.rq;3;1068;1271690;0;0
query_526.rq;1;1182;403365;1182;9
query_5414.rq;4;1183;627215;0;0
query_5274.rq;1;673;1279569;529;3232
query_5286.rq;1;1019;3430870;1004;934
query_5349.rq;18;1347;1390076;1057;2494
query_5289.rq;1;11;2450;10;1
query_5350.rq;1;1071;1279569;991;3047
query_531.rq;11;1046;289339;1034;9
query_5341.rq;1;1274;514034;1145;4193
query_5323.rq;2;903;1754405;0;0
query_5381.rq;2;798;1754405;0;0
query_528.rq;57;1766;2321578;1376;5371
query_5347.rq;1;956;763954;0;0
query_5306.rq;1;1285;1068180;1280;236
query_5363.rq;2;1624;810829;1610;13
query_5325.rq;28;1231;2577155;1114;1637
query_5340.rq;4;472;414480;447;1568
query_5440.rq;1;961;3430870;956;407
query_5370.rq;1;1649;412743;1599;4205
query_5326.rq;1;922;1134665;0;0
query_5386.rq;8;1327;325383;1301;323
query_5321.rq;6;771;144369;758;108
query_5324.rq;2;807;1754405;0;0
query_5316.rq;2;1648;804270;1596;2853
query_541.rq;2;1244;582776;1243;106
query_5368.rq;2;49;17876;49;29
query_5395.rq;11;1403;2094845;1397;147
query_5403.rq;1;1923;2433902;1516;23878
query_5358.rq;1;11;2314;0;0
query_540.rq;1;809;29267;809;4
query_5294.rq;1;861;780910;844;1126
query_5312.rq;1;2158;5666500;1045;28377
query_5385.rq;6;700;1180175;699;7
query_5338.rq;6;721;152378;710;206
query_5271.rq;1;1283;492098;1094;9909
query_5359.rq;2;1652;2910317;1607;390
query_5378.rq;1;771;1599810;692;2237
query_5384.rq;2;1340;2495405;1340;3
query_5288.rq;18;857;1388362;615;2360
query_5406.rq;1;1313;1599810;1237;2237
query_5310.rq;2;52;16453;52;24
query_5311.rq;1;731;777789;731;31
query_5401.rq;2;1102;583276;1099;193
query_5331.rq;2;52;16048;52;22
query_5400.rq;1;1023;1122904;1023;3
query_5422.rq;1;917;1279568;877;1669
query_5333.rq;1;15;2529;15;1
