query_1212.rq;40;2803;926701;1252;2071
query_12160.rq;13;970;272873;913;491
query_12179.rq;43;9895;788907;1409;1180
query_12194.rq;1;299;3736;298;1
query_1208.rq;1;309;3667;0;0
query_12088.rq;1;306;4295;306;1
query_1221.rq;15;4355;302983;1980;97
query_12131.rq;3;638;64781;638;49
query_12190.rq;14;1089;239041;684;6
query_12121.rq;5;342;55671;341;1
query_12135.rq;28;8011;975754;598;2538
query_12161.rq;6;1482;128621;0;0
query_12214.rq;14;631;255838;601;672
query_12197.rq;2;32;20316;32;34
query_12104.rq;5;314;104388;311;79
query_12123.rq;1;258;8601;258;21
query_12155.rq;125;29160;5840297;309;12440
query_12107.rq;6;337;142415;332;126
query_12141.rq;22;719;385378;624;859
query_12114.rq;4;800;627538;800;1
query_12164.rq;11;816;2810228;810;17
query_12142.rq;1;259;3121;0;0
query_12116.rq;3;895;92507;895;39
query_3418.rq;2;38;9562;38;8
query_12237.rq;8;629;150614;619;108
query_12130.rq;11;3381;698960;2102;482
query_12108.rq;6;271;1170542;0;0
query_12220.rq;1;247;403365;0;0
query_12178.rq;11;357;384970;325;425
query_12102.rq;3;279;114587;0;0
query_12209.rq;13;384;293842;302;672
query_12091.rq;1;486;492098;327;9629
query_12212.rq;3;233;411633;0;0
query_12206.rq;1;682;514034;293;12602
query_12149.rq;2;474;810829;456;4
query_12231.rq;1;141;29268;141;7
query_12242.rq;22;548;385378;488;859
query_12183.rq;2;1200;2910317;1177;403
query_12153.rq;2;484;810829;461;20
query_12251.rq;1;139;296639;139;1
query_12229.rq;1;163;492552;163;3
query_12189.rq;2;924;2495404;924;2
query_12215.rq;1;102;132918;102;7
query_1216.rq;3;324;365324;0;0
query_12122.rq;5;182;118655;180;6
query_12158.rq;8;287;128886;287;4
query_12118.rq;2;667;1711251;625;36
query_12181.rq;1;94;129835;93;1
query_12138.rq;1;121;296639;0;0
query_12175.rq;1;57;35687;56;54
query_12232.rq;3;218;365324;0;0
query_12204.rq;14;526;985021;394;948
query_12188.rq;15;519;249822;502;557
query_12095.rq;3;261;46025;0;0
query_12127.rq;43;6935;1603654;3295;55
query_121.rq;3;242;114587;0;0
query_12132.rq;3;729;2711143;729;1
query_12098.rq;1;971;2433902;469;23274
query_12193.rq;1;25;2529;25;1
query_12124.rq;1;404;1820111;403;29
query_12150.rq;1;191;629894;191;6
query_12240.rq;2;592;804270;534;2853
query_1211.rq;2;446;262375;442;18
query_12258.rq;3;177;84634;177;3
query_12216.rq;4;929;3477173;0;0
query_12174.rq;2;511;1943256;511;1
query_12166.rq;1;239;1134665;239;3
query_1214.rq;2;346;1755371;346;10
query_12239.rq;2;525;1759416;522;175
query_12234.rq;1;340;492098;217;9629
query_12103.rq;3;237;278412;0;0
query_12241.rq;1;147;492552;147;3
query_12112.rq;1;291;629895;0;0
query_12176.rq;3;218;425081;218;21
query_12152.rq;1;416;492097;284;9598
query_12165.rq;1;385;1134665;0;0
query_12097.rq;1;313;412743;217;6189
query_12210.rq;1;106;44126;90;649
query_1223.rq;13;392;926067;307;715
query_12211.rq;1;9;2422;9;1
query_12151.rq;1;182;77086;182;42
query_12119.rq;2;651;779794;424;14024
query_12145.rq;1;40;2529;40;1
query_12198.rq;1;422;412743;248;11735
query_12221.rq;1;175;77086;175;38
query_12105.rq;22;546;309068;530;20
query_1218.rq;1;113;62811;113;3
query_12093.rq;5;197;102551;195;18
query_12256.rq;1;466;763954;466;1
query_12180.rq;1;23;2450;23;1
query_12100.rq;3;424;69908;0;0
query_12113.rq;50;13153;1660351;1951;36
query_12137.rq;1;164;48527;158;223
query_1224.rq;11;749;2815940;745;30
query_1209.rq;2;475;1756959;474;118
query_12222.rq;2;574;2186492;574;3
query_1222.rq;3;304;365324;0;0
query_120.rq;2;749;2910317;727;414
query_12218.rq;1;280;75800;264;461
query_12257.rq;1;564;713086;210;22370
query_12195.rq;2;663;823641;609;904
query_12090.rq;1;365;777792;365;26
query_12140.rq;1;154;44126;148;218
query_12143.rq;1;258;354044;0;0
query_12192.rq;1;126;77085;121;367
query_12094.rq;1;143;296639;143;1
query_12213.rq;2;776;2910316;753;410
query_12247.rq;1;252;744784;252;1
query_12252.rq;1;157;77085;152;367
query_12096.rq;3;195;365324;0;0
query_12227.rq;4;309;414481;294;669
query_1215.rq;1;331;966820;248;5587
query_12159.rq;1;417;966820;385;2410
query_12246.rq;1;186;77086;186;21
query_12207.rq;1;293;579563;0;0
query_12205.rq;6;251;142415;247;126
query_12182.rq;34;841;3200661;694;2072
query_12219.rq;1;174;36258;174;2
query_12236.rq;2;974;3905962;973;2
query_12250.rq;2;299;742883;299;1
query_1217.rq;1;106;53836;106;10
query_12086.rq;1;234;763955;0;0
query_1210.rq;10;537;859970;462;592
query_12089.rq;2;260;584308;255;305
query_12201.rq;2;700;2495404;700;1
query_12092.rq;1;77;44126;60;649
query_12087.rq;1;336;780910;309;1258
query_12255.rq;62;1656;851875;1596;527
query_12200.rq;17;534;311812;485;415
query_12106.rq;3;125;114132;124;59
query_12117.rq;17;474;247814;467;11
query_12244.rq;1;10;2306;0;0
query_12254.rq;2;301;56878;110;191
query_12099.rq;3;235;33622;235;4
query_12129.rq;1;217;5100;217;2
query_12208.rq;5;920;92443;917;146
query_12217.rq;6;250;135309;247;111
query_12162.rq;1;252;3125;0;0
query_12139.rq;1;26;2529;25;1
query_12187.rq;3;666;66205;666;11
query_12249.rq;1;218;4159;0;0
query_12202.rq;128;17978;1464174;3760;17
query_12185.rq;1;203;62812;203;5
query_12144.rq;1;214;885663;0;0
query_12173.rq;3;205;276042;204;8
query_12126.rq;22;493;2258642;475;435
query_12191.rq;4;601;3477171;0;0
query_12223.rq;3;201;365324;0;0
query_12238.rq;23;399;317774;387;14
query_12146.rq;26;671;471091;653;16
query_12233.rq;1;159;53836;159;20
query_12115.rq;2;292;262375;289;9
query_12235.rq;2;118;125199;117;18
query_12147.rq;11;272;864394;209;543
query_1213.rq;13;1434;214794;664;70
query_12186.rq;1;157;3319;0;0
